"","c1_humans.v1","c1_humans.v2","c1_nonwh","c1_nonmale","c1_whmale","c1_disab","c1_nonwest","c1_landurban","c1_landcult","c1_natres","c1_ag","c1_restore","c1_recnoext","c1_recext","c1_animalnonext","c1_animalext","c1_logo"
"369",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"370",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"371",4,4,0,4,0,0,0,NA,0,0,0,0,0,0,0,0,0
"372",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"373",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"374",4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
"375",4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"376",4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"377",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"378",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379",4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
"380",4,4,0,0,4,0,0,0,0,0,0,0,1,0,4,0,0
"381",4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"382",3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"383",4,4,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0
"384",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"385",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"386",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"387",4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
