"","c1_humans.v1","c1_humans.v2","c1_nonwh","c1_nonmale","c1_whmale","c1_disab","c1_nonwest","c1_landurban","c1_landcult","c1_natres","c1_ag","c1_restore","c1_recnoext","c1_recext","c1_animalnonext","c1_animalext","c1_logo"
"128",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",4,4,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0
"131",4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"132",4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"133",4,4,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0
"134",3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"135",4,4,1,4,0,0,0,1,0,0,0,0,4,0,0,0,0
"136",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"137",4,4,0,2,2,0,0,4,0,0,0,0,0,0,0,0,0
"138",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139",4,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0
"140",4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"141",3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0
"142",4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"143",4,4,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
"144",4,4,0,0,4,0,0,0,4,0,4,0,0,0,0,0,0
"145",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146",3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"147",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"149",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150",4,4,0,0,3,0,0,4,NA,4,0,0,0,0,0,4,0
"151",3,3,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0
"152",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153",4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"154",4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"155",4,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0
"156",4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0
"157",2,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0
"158",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"159",4,4,4,4,0,0,0,4,0,0,0,0,4,0,0,0,0
"160",4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"161",4,4,4,3,0,0,1,0,0,4,0,0,0,0,0,0,0
"162",4,4,0,0,3,0,0,0,4,0,4,0,0,0,0,0,0
"163",3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"164",4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"165",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167",4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"168",4,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0
"169",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170",4,4,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0
"171",4,4,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0
"172",3,3,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0
"173",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175",4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"176",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181",4,4,0,0,4,0,0,1,0,4,0,0,0,0,0,0,0
"182",4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"183",4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"184",4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
"185",3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"186",4,4,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0
"187",3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"188",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190",3,3,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0
"191",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192",4,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"193",4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"194",4,4,0,4,4,0,0,0,0,0,1,0,0,0,0,0,0
"195",4,4,4,0,0,0,0,4,0,0,0,0,3,0,0,0,0
"196",3,3,1,3,2,0,0,2,0,0,0,0,3,0,0,0,0
"197",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198",4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"199",4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0
"200",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201",3,3,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0
"202",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
